window_index,out_batch_id,true_in_batch_id,correct_batch_prob,correct_batch_is_highest,anonymity_set_size,anonymity_set,n_clients,batch_size,batch_prob,sim_timestamp,utc_timestamp
1,1,1,0.21428571428571427,False,4,"{8, 9, 5, 1}",10,3,"{5: 0.21428571428571427, 9: 0.2857142857142857, 1: 0.21428571428571427, 8: 0.2857142857142857}",0.5347058069796227,1759103421
1,0,9,0.42857142857142855,True,3,"{1, 5, 9}",10,3,"{5: 0.2857142857142857, 1: 0.2857142857142857, 9: 0.42857142857142855}",0.5347058069796227,1759103421
2,3,4,0.2245762711864407,True,6,"{1, 2, 4, 5, 8, 9}",10,3,"{5: 0.1016949152542373, 9: 0.11016949152542373, 1: 0.1864406779661017, 8: 0.15254237288135594, 2: 0.2245762711864407, 4: 0.2245762711864407}",1.102264288832638,1759103421
2,0,9,0.4067796610169492,True,3,"{1, 5, 9}",10,3,"{1: 0.2542372881355932, 5: 0.3389830508474576, 9: 0.4067796610169492}",1.102264288832638,1759103421
2,1,1,0.17796610169491525,False,4,"{8, 1, 5, 9}",10,3,"{8: 0.3389830508474576, 5: 0.2288135593220339, 1: 0.17796610169491525, 9: 0.2542372881355932}",1.102264288832638,1759103421
2,2,2,0.2245762711864407,True,6,"{1, 2, 4, 5, 8, 9}",10,3,"{5: 0.1016949152542373, 8: 0.15254237288135594, 1: 0.1864406779661017, 4: 0.2245762711864407, 2: 0.2245762711864407, 9: 0.11016949152542373}",1.102264288832638,1759103421
3,4,8,0.10714285714285714,False,7,"{1, 2, 4, 5, 7, 8, 9}",10,3,"{5: 0.10714285714285714, 9: 0.047619047619047616, 1: 0.09523809523809523, 8: 0.10714285714285714, 2: 0.16666666666666666, 4: 0.16666666666666666, 7: 0.30952380952380953}",1.2202106294797141,1759103421
3,0,9,0.6190476190476191,True,2,"{1, 9}",10,3,"{1: 0.38095238095238093, 9: 0.6190476190476191}",1.2202106294797141,1759103421
3,1,1,0.14285714285714285,False,4,"{8, 1, 5, 9}",10,3,"{8: 0.35714285714285715, 5: 0.35714285714285715, 1: 0.14285714285714285, 9: 0.14285714285714285}",1.2202106294797141,1759103421
3,2,2,0.23809523809523808,True,6,"{1, 2, 4, 5, 8, 9}",10,3,"{4: 0.23809523809523808, 2: 0.23809523809523808, 5: 0.15476190476190477, 8: 0.15476190476190477, 1: 0.14285714285714285, 9: 0.07142857142857142}",1.2202106294797141,1759103421
3,3,4,0.23809523809523808,True,6,"{1, 2, 4, 5, 8, 9}",10,3,"{5: 0.15476190476190477, 8: 0.15476190476190477, 4: 0.23809523809523808, 2: 0.23809523809523808, 1: 0.14285714285714285, 9: 0.07142857142857142}",1.2202106294797141,1759103421
4,5,7,0.3333333333333333,True,5,"{2, 4, 5, 7, 8}",10,3,"{5: 0.16666666666666666, 8: 0.16666666666666666, 2: 0.16666666666666666, 4: 0.16666666666666666, 7: 0.3333333333333333}",1.5096584754851468,1759103421
4,0,9,0.5,True,2,"{1, 9}",10,3,"{1: 0.5, 9: 0.5}",1.5096584754851468,1759103421
4,1,1,0.5,True,2,"{9, 1}",10,3,"{9: 0.5, 1: 0.5}",1.5096584754851468,1759103421
4,2,2,0.25,True,4,"{8, 2, 4, 5}",10,3,"{2: 0.25, 4: 0.25, 8: 0.25, 5: 0.25}",1.5096584754851468,1759103421
4,3,4,0.25,True,4,"{8, 2, 4, 5}",10,3,"{4: 0.25, 2: 0.25, 8: 0.25, 5: 0.25}",1.5096584754851468,1759103421
4,4,8,0.16666666666666666,False,5,"{2, 4, 5, 7, 8}",10,3,"{8: 0.16666666666666666, 7: 0.3333333333333333, 4: 0.16666666666666666, 2: 0.16666666666666666, 5: 0.16666666666666666}",1.5096584754851468,1759103421
5,4,8,0.21428571428571427,False,4,"{8, 2, 4, 7}",10,3,"{8: 0.21428571428571427, 2: 0.2857142857142857, 4: 0.2857142857142857, 7: 0.21428571428571427}",2.236641058989453,1759103421
5,0,9,0.5,True,2,"{1, 9}",10,3,"{1: 0.5, 9: 0.5}",2.236641058989453,1759103421
5,1,1,0.5,True,2,"{9, 1}",10,3,"{9: 0.5, 1: 0.5}",2.236641058989453,1759103421
5,2,2,0.25,False,4,"{8, 2, 4, 5}",10,3,"{4: 0.25, 5: 0.35714285714285715, 8: 0.14285714285714285, 2: 0.25}",2.236641058989453,1759103421
5,3,4,0.25,False,4,"{8, 2, 4, 5}",10,3,"{5: 0.35714285714285715, 4: 0.25, 8: 0.14285714285714285, 2: 0.25}",2.236641058989453,1759103421
5,5,7,0.6428571428571429,True,2,"{8, 7}",10,3,"{8: 0.35714285714285715, 7: 0.6428571428571429}",2.236641058989453,1759103421
6,6,5,0.034482758620689655,False,9,"{2, 4, 5, 6, 7, 8, 11, 12, 13}",10,3,"{5: 0.034482758620689655, 8: 0.034482758620689655, 2: 0.07758620689655173, 4: 0.07758620689655173, 7: 0.05172413793103448, 6: 0.1206896551724138, 11: 0.2413793103448276, 13: 0.2413793103448276, 12: 0.1206896551724138}",2.713198165734777,1759103421
6,0,9,0.5,True,2,"{9, 1}",10,3,"{9: 0.5, 1: 0.5}",2.713198165734777,1759103421
6,1,1,0.5,True,2,"{1, 9}",10,3,"{1: 0.5, 9: 0.5}",2.713198165734777,1759103421
6,2,2,0.2413793103448276,False,4,"{8, 2, 4, 5}",10,3,"{4: 0.2413793103448276, 8: 0.13793103448275862, 2: 0.2413793103448276, 5: 0.3793103448275862}",2.713198165734777,1759103421
6,3,4,0.2413793103448276,False,4,"{8, 2, 4, 5}",10,3,"{8: 0.13793103448275862, 4: 0.2413793103448276, 2: 0.2413793103448276, 5: 0.3793103448275862}",2.713198165734777,1759103421
