window_index,out_batch_id,true_in_batch_id,correct_batch_prob,correct_batch_is_highest,anonymity_set_size,anonymity_set,n_clients,batch_size,batch_prob,sim_timestamp,utc_timestamp
1,1,1,0.21875,False,6,"{1, 2, 3, 4, 6, 7}",10,3,"{7: 0.125, 1: 0.21875, 4: 0.28125, 6: 0.125, 2: 0.125, 3: 0.125}",0.8064853163895827,1759120205
1,0,6,0.125,False,6,"{1, 2, 3, 4, 6, 7}",10,3,"{4: 0.28125, 6: 0.125, 1: 0.21875, 2: 0.125, 7: 0.125, 3: 0.125}",0.8064853163895827,1759120205
2,3,3,0.12209302325581395,False,7,"{1, 2, 3, 4, 6, 7, 10}",10,3,"{7: 0.12209302325581395, 1: 0.16279069767441862, 4: 0.18023255813953487, 6: 0.12209302325581395, 2: 0.12209302325581395, 3: 0.12209302325581395, 10: 0.1686046511627907}",0.8621470514286332,1759120205
2,0,6,0.14534883720930233,False,6,"{1, 2, 3, 4, 6, 7}",10,3,"{6: 0.14534883720930233, 1: 0.19767441860465115, 2: 0.14534883720930233, 7: 0.14534883720930233, 4: 0.22093023255813954, 3: 0.14534883720930233}",0.8621470514286332,1759120205
2,1,1,0.19767441860465115,False,6,"{1, 2, 3, 4, 6, 7}",10,3,"{4: 0.22093023255813954, 6: 0.14534883720930233, 1: 0.19767441860465115, 2: 0.14534883720930233, 7: 0.14534883720930233, 3: 0.14534883720930233}",0.8621470514286332,1759120205
2,2,7,0.12209302325581395,False,7,"{1, 2, 3, 4, 6, 7, 10}",10,3,"{10: 0.1686046511627907, 4: 0.18023255813953487, 6: 0.12209302325581395, 1: 0.16279069767441862, 2: 0.12209302325581395, 7: 0.12209302325581395, 3: 0.12209302325581395}",0.8621470514286332,1759120205
3,5,10,0.2037947997189037,False,8,"{1, 2, 3, 4, 6, 7, 9, 10}",10,3,"{7: 0.08573436401967674, 1: 0.09416725228390724, 4: 0.09697821503865074, 6: 0.08573436401967674, 2: 0.08573436401967674, 3: 0.08573436401967674, 10: 0.2037947997189037, 9: 0.26212227687983136}",0.9853537065634245,1759120206
3,0,6,0.15811665495432187,False,6,"{1, 2, 3, 4, 6, 7}",10,3,"{2: 0.15811665495432187, 7: 0.15811665495432187, 1: 0.17990161630358398, 6: 0.15811665495432187, 4: 0.1876317638791286, 3: 0.15811665495432187}",0.9853537065634245,1759120206
3,1,1,0.17990161630358398,False,6,"{1, 2, 3, 4, 6, 7}",10,3,"{1: 0.17990161630358398, 2: 0.15811665495432187, 7: 0.15811665495432187, 6: 0.15811665495432187, 4: 0.1876317638791286, 3: 0.15811665495432187}",0.9853537065634245,1759120206
3,2,7,0.1359803232607168,False,7,"{1, 2, 3, 4, 6, 7, 10}",10,3,"{6: 0.1359803232607168, 1: 0.15390021082220662, 2: 0.1359803232607168, 7: 0.1359803232607168, 4: 0.1602248770203795, 3: 0.1359803232607168, 10: 0.14195361911454674}",0.9853537065634245,1759120206
