window_index,out_batch_id,true_in_batch_id,correct_batch_prob,correct_batch_is_highest,anonymity_set_size,anonymity_set,n_clients,batch_size,batch_prob,sim_timestamp,utc_timestamp
1,1,1,0.1875,False,5,"{1, 3, 5, 6, 8}",10,3,"{8: 0.1875, 3: 0.1875, 5: 0.1875, 1: 0.1875, 6: 0.25}",0.6867596807505281,1759103421
1,0,8,0.25,True,4,"{8, 1, 3, 5}",10,3,"{8: 0.25, 3: 0.25, 1: 0.25, 5: 0.25}",0.6867596807505281,1759103421
2,3,4,0.14035087719298245,True,9,"{0, 1, 2, 3, 4, 5, 6, 8, 9}",10,3,"{8: 0.10526315789473684, 3: 0.10526315789473684, 5: 0.10526315789473684, 1: 0.05263157894736842, 6: 0.07017543859649122, 9: 0.14035087719298245, 2: 0.14035087719298245, 4: 0.14035087719298245, 0: 0.14035087719298245}",1.0503664194166107,1759103421
2,0,8,0.24561403508771928,False,4,"{8, 1, 3, 5}",10,3,"{3: 0.24561403508771928, 8: 0.24561403508771928, 1: 0.2631578947368421, 5: 0.24561403508771928}",1.0503664194166107,1759103421
2,1,1,0.19298245614035087,False,5,"{1, 3, 5, 6, 8}",10,3,"{8: 0.18128654970760233, 3: 0.18128654970760233, 6: 0.2631578947368421, 1: 0.19298245614035087, 5: 0.18128654970760233}",1.0503664194166107,1759103421
2,2,5,0.18128654970760233,False,5,"{1, 3, 5, 6, 8}",10,3,"{1: 0.19298245614035087, 8: 0.18128654970760233, 3: 0.18128654970760233, 6: 0.2631578947368421, 5: 0.18128654970760233}",1.0503664194166107,1759103421
3,0,8,0.24583333333333332,False,4,"{8, 1, 3, 5}",10,3,"{8: 0.24583333333333332, 3: 0.24583333333333332, 5: 0.24583333333333332, 1: 0.2625}",1.4265455590457907,1759103421
3,1,1,0.18875,False,5,"{1, 3, 5, 6, 8}",10,3,"{3: 0.17791666666666667, 6: 0.2775, 1: 0.18875, 5: 0.17791666666666667, 8: 0.17791666666666667}",1.4265455590457907,1759103421
3,2,5,0.17791666666666667,False,5,"{1, 3, 5, 6, 8}",10,3,"{1: 0.18875, 3: 0.17791666666666667, 6: 0.2775, 5: 0.17791666666666667, 8: 0.17791666666666667}",1.4265455590457907,1759103421
3,3,4,0.15,True,9,"{0, 1, 2, 3, 4, 5, 6, 8, 9}",10,3,"{2: 0.15, 9: 0.15, 1: 0.05, 4: 0.15, 0: 0.13, 3: 0.1, 6: 0.07, 5: 0.1, 8: 0.1}",1.4265455590457907,1759103421
