window_index,out_batch_id,true_in_batch_id,correct_batch_prob,correct_batch_is_highest,anonymity_set_size,anonymity_set,n_clients,batch_size,batch_prob,sim_timestamp,utc_timestamp
1,1,1,0.16,False,6,"{0, 1, 2, 3, 5, 8}",10,3,"{1: 0.16, 8: 0.16, 3: 0.16, 0: 0.16, 5: 0.16, 2: 0.2}",0.7989364816871422,1759120205
1,0,3,0.2,True,5,"{0, 1, 3, 5, 8}",10,3,"{3: 0.2, 5: 0.2, 8: 0.2, 0: 0.2, 1: 0.2}",0.7989364816871422,1759120205
2,2,2,0.13333333333333333,False,6,"{0, 1, 2, 5, 6, 8}",10,3,"{1: 0.13333333333333333, 8: 0.13333333333333333, 0: 0.13333333333333333, 5: 0.13333333333333333, 2: 0.13333333333333333, 6: 0.3333333333333333}",1.087254002052236,1759120205
2,0,3,1.0,True,1,{3},10,3,{3: 1.0},1.087254002052236,1759120205
2,1,1,0.2,True,5,"{0, 1, 2, 5, 8}",10,3,"{1: 0.2, 5: 0.2, 8: 0.2, 0: 0.2, 2: 0.2}",1.087254002052236,1759120205
3,4,6,0.17034700315457413,True,8,"{0, 1, 2, 5, 6, 7, 8, 10}",10,3,"{1: 0.13249211356466878, 8: 0.06624605678233439, 0: 0.13249211356466878, 5: 0.11356466876971609, 2: 0.13249211356466878, 6: 0.17034700315457413, 7: 0.12618296529968454, 10: 0.12618296529968454}",1.4584486215842885,1759120205
3,0,3,1.0,True,1,{3},10,3,{3: 1.0},1.4584486215842885,1759120205
3,1,1,0.20268138801261829,False,5,"{0, 1, 2, 5, 8}",10,3,"{8: 0.2200315457413249, 0: 0.20268138801261829, 2: 0.20268138801261829, 1: 0.20268138801261829, 5: 0.1719242902208202}",1.4584486215842885,1759120205
3,2,2,0.14589905362776026,False,6,"{0, 1, 2, 5, 6, 8}",10,3,"{1: 0.14589905362776026, 8: 0.15694006309148265, 0: 0.14589905362776026, 2: 0.14589905362776026, 5: 0.12618296529968454, 6: 0.27917981072555204}",1.4584486215842885,1759120205
3,3,8,0.13564668769716087,False,6,"{0, 1, 2, 5, 6, 8}",10,3,"{5: 0.25236593059936907, 1: 0.12618296529968454, 8: 0.13564668769716087, 0: 0.12618296529968454, 2: 0.12618296529968454, 6: 0.2334384858044164}",1.4584486215842885,1759120205
4,6,10,0.15344050788449723,False,8,"{0, 1, 2, 5, 6, 7, 8, 10}",10,3,"{1: 0.11580995289780872, 8: 0.065943067786197, 0: 0.11580995289780872, 5: 0.09881220561130452, 2: 0.16280974810567275, 6: 0.1339340569322138, 7: 0.15344050788449723, 10: 0.15344050788449723}",1.8774999841598372,1759120206
4,0,3,1.0,True,1,{3},10,3,{3: 1.0},1.8774999841598372,1759120206
4,1,1,0.20064509522834323,False,5,"{0, 1, 2, 5, 8}",10,3,"{0: 0.20064509522834323, 2: 0.1737149293467131, 8: 0.2551198033995495, 1: 0.20064509522834323, 5: 0.169875076797051}",1.8774999841598372,1759120206
4,2,2,0.13132295719844359,False,6,"{0, 1, 2, 5, 6, 8}",10,3,"{8: 0.18610485357362277, 0: 0.1500614376407946, 2: 0.13132295719844359, 1: 0.1500614376407946, 5: 0.12881425353266435, 6: 0.2536350604136801}",1.8774999841598372,1759120206
4,3,8,0.15912348965799714,False,6,"{0, 1, 2, 5, 6, 8}",10,3,"{1: 0.12881425353266435, 8: 0.15912348965799714, 0: 0.12881425353266435, 2: 0.11304525906205201, 5: 0.2576285070653287, 6: 0.21257423714929347}",1.8774999841598372,1759120206
4,4,6,0.1425353266434569,False,8,"{0, 1, 2, 5, 6, 7, 8, 10}",10,3,"{10: 0.1640385009215646, 1: 0.12308007372516895, 8: 0.06983411836985459, 7: 0.1640385009215646, 2: 0.1085398320704485, 0: 0.12308007372516895, 5: 0.10485357362277288, 6: 0.1425353266434569}",1.8774999841598372,1759120206
4,5,5,0.09881220561130452,False,8,"{0, 1, 2, 5, 6, 7, 8, 10}",10,3,"{5: 0.09881220561130452, 10: 0.15344050788449723, 1: 0.11580995289780872, 2: 0.16280974810567275, 8: 0.065943067786197, 7: 0.15344050788449723, 0: 0.11580995289780872, 6: 0.1339340569322138}",1.8774999841598372,1759120206
5,7,0,0.1069034963187956,False,6,"{0, 1, 2, 5, 6, 7}",10,3,"{1: 0.1069034963187956, 0: 0.1069034963187956, 5: 0.09105615900161775, 2: 0.28584634685859556, 6: 0.23870051833999142, 7: 0.1705899831622041}",2.0940382104937356,1759120212
5,0,3,1.0,True,1,{3},10,3,{3: 1.0},2.0940382104937356,1759120212
5,1,1,0.20053484763445475,False,5,"{0, 1, 2, 5, 8}",10,3,"{2: 0.13549473406187065, 0: 0.20053484763445475, 8: 0.29449635181088846, 1: 0.20053484763445475, 5: 0.1689392188583314}",2.0940382104937356,1759120212
