corrupt_mixes,threshold,n_hops,mean_entropy,median_entropy,q25_entropy,simulation_time,std_mean,std_median,std_q25,raw_means,raw_medians,raw_q25s,raw_times
10,60,4,8.520999638649553,9.812918350635162,7.97469658715007,18.842524099349976,1.1468700288973899,0.30717918917571646,3.4520452931453676,"[np.float64(8.199856758635638), np.float64(9.212424541922188), np.float64(8.086804097878753), np.float64(8.968578830405512), np.float64(6.232088781912845), np.float64(9.093400223069706), np.float64(8.09878778811322), np.float64(9.592909752741116), np.float64(6.257308701243996), np.float64(9.888586876778598), np.float64(9.195220262823481), np.float64(8.033500602354879), np.float64(8.873967885223962), np.float64(8.859375326613804), np.float64(6.216769908652216), np.float64(9.006943172979858), np.float64(7.995712784657684), np.float64(9.54502673016073), np.float64(9.91155467200356), np.float64(9.151175074819298)]","[np.float64(9.96658530039996), np.float64(9.986339063551945), np.float64(9.723683633269543), np.float64(9.704141860723961), np.float64(9.416178914405489), np.float64(10.178894881369466), np.float64(9.762092033695668), np.float64(9.893747415550196), np.float64(9.037273070485172), np.float64(9.970482007346115), np.float64(10.205555470861514), np.float64(9.91943067646265), np.float64(9.612172034374243), np.float64(9.892940433594331), np.float64(9.202845889472405), np.float64(9.840264807446259), np.float64(9.997010880557237), np.float64(9.74959358624461), np.float64(10.149796070915517), np.float64(10.049338981976938)]","[np.float64(9.190880759212813), np.float64(9.854023980538543), np.float64(9.400573492500726), np.float64(9.2939756909242), 0, np.float64(9.538530840113186), np.float64(9.383934002865614), np.float64(9.207004590895496), 0, np.float64(9.729897018831712), np.float64(9.902253310556517), np.float64(8.850516518722614), np.float64(9.282632742591133), np.float64(9.397320824498491), 0, np.float64(9.374889275167472), np.float64(8.603062321207007), np.float64(9.159390521072524), np.float64(9.398484058726655), np.float64(9.926561794576688)]","[19.423912286758423, 18.884883165359497, 20.182838201522827, 19.42712092399597, 19.393519401550293, 18.260305166244507, 18.478173971176147, 18.262051105499268, 18.238945484161377, 18.786857843399048, 18.263497829437256, 18.325011253356934, 18.49752449989319, 18.48013472557068, 17.898136615753174, 19.352752685546875, 18.464523792266846, 18.616470098495483, 18.860860347747803, 20.752962589263916]"
10,60,5,9.203718355345726,10.317617315521023,9.490254244392942,19.9494237780571,0.8177605287988992,0.2975194623948618,1.1093066708824117,"[np.float64(8.559134485645503), np.float64(8.37902019013727), np.float64(8.372147346577291), np.float64(8.3200857097231), np.float64(9.388819034624246), np.float64(9.384875847420311), np.float64(9.399680919580724), np.float64(9.4071020173392), np.float64(9.218275852373095), np.float64(10.367293582195412), np.float64(9.541517267210025), np.float64(9.566284084091494), np.float64(10.196981461384574), np.float64(8.130162176258658), np.float64(10.109014942784059), np.float64(10.531902290626565), np.float64(10.098820569438157), np.float64(8.38256728125218), np.float64(7.739592882041666), np.float64(8.981089166210982)]","[np.float64(10.432637641685481), np.float64(10.493786119712667), np.float64(10.33679020100066), np.float64(9.921962399570324), np.float64(10.490211443099078), np.float64(10.394310409960651), np.float64(10.486395634916166), np.float64(10.382693852750284), np.float64(9.794037988772317), np.float64(10.38934154622611), np.float64(10.644447613392034), np.float64(10.432455835880853), np.float64(10.597301525468863), np.float64(9.86512637202491), np.float64(10.1431183937205), np.float64(10.553351737102455), np.float64(10.421813400780302), np.float64(10.497968891035027), np.float64(10.508175742435125), np.float64(9.566419560886661)]","[np.float64(9.853607375204309), np.float64(9.007048435890667), np.float64(9.624436967417125), np.float64(9.740407631292346), np.float64(10.064551756784207), np.float64(9.814020466432167), np.float64(9.671918890454002), np.float64(9.839494836660588), np.float64(9.642040163744644), np.float64(10.15438567559903), np.float64(9.997719920090553), np.float64(10.280431837647168), np.float64(9.760884007197319), np.float64(9.149164069172878), np.float64(9.646938302329248), np.float64(10.371535385824592), np.float64(9.674427078372464), np.float64(9.316562733869375), np.float64(5.036692015689637), np.float64(9.158817338186504)]","[22.131152153015137, 20.02596926689148, 19.834985733032227, 19.801998615264893, 19.713403940200806, 18.211552381515503, 19.6424777507782, 19.657484531402588, 19.931413888931274, 18.94145655632019, 21.47829842567444, 19.712848901748657, 21.014408349990845, 18.343183994293213, 20.310057163238525, 19.571601629257202, 19.725202322006226, 18.836571216583252, 20.527193307876587, 21.577215433120728]"
10,60,6,8.747025613774657,10.365697257400615,8.300700379976586,20.927047848701477,1.2213514616164043,0.4959668890642704,3.066251937863674,"[np.float64(8.329325185804343), np.float64(8.356678342485399), np.float64(9.485948799143264), np.float64(9.490737696652468), np.float64(5.552885987660053), np.float64(8.324437823138807), np.float64(10.325131350395349), np.float64(8.684994382319926), np.float64(10.567980411039622), np.float64(8.541291275516883), np.float64(9.587037467089077), np.float64(9.500831930478133), np.float64(8.681128162747667), np.float64(9.977608623556637), np.float64(7.6880903959586275), np.float64(9.175105010636571), np.float64(9.683923300805953), np.float64(8.303660553457412), np.float64(6.458033154808765), np.float64(8.225682421798181)]","[np.float64(9.911277639955445), np.float64(10.010548457897597), np.float64(10.667766690488474), np.float64(10.663129418644196), np.float64(9.004097402790444), np.float64(10.17134636526511), np.float64(10.67707444521966), np.float64(10.71777510860804), np.float64(10.595178748506868), np.float64(10.192000233984336), np.float64(10.615481775331856), np.float64(10.710806468623913), np.float64(10.825095056020656), np.float64(10.983619840642042), np.float64(10.33774629785163), np.float64(10.39492129148786), np.float64(10.913132590936101), np.float64(10.11817058039254), np.float64(9.455398960901148), np.float64(10.34937777446438)]","[np.float64(8.688433045661249), np.float64(9.318762774608594), np.float64(9.77130198915362), np.float64(10.046413833629998), 0, np.float64(8.716475622076473), np.float64(9.965669231171994), np.float64(9.179175513830213), np.float64(10.238413448954141), np.float64(9.575847347297541), np.float64(9.959743644701065), np.float64(9.397132493926478), np.float64(9.488457224363785), np.float64(10.64335242487878), np.float64(5.017974815296423), np.float64(9.16054609333638), np.float64(9.98662193764389), np.float64(8.646372225237165), 0, np.float64(8.21331393376392)]","[21.474972248077393, 21.2670316696167, 20.996501684188843, 21.73397421836853, 20.537065982818604, 20.73766803741455, 21.44965362548828, 20.87726378440857, 20.726906538009644, 21.397355794906616, 19.34236788749695, 21.195627212524414, 21.708959341049194, 19.716686725616455, 21.580408096313477, 20.1834819316864, 21.591315507888794, 20.354568481445312, 21.69712781906128, 19.972020387649536]"
10,65,4,8.909068751431228,9.942432198166083,8.821226059870797,18.159104990959168,0.9685082803564791,0.21878898265531907,2.36449177767447,"[np.float64(9.945515626025765), np.float64(9.711196523500378), np.float64(10.029754851847255), np.float64(9.179980436614654), np.float64(8.215698044306242), np.float64(8.065557334260058), np.float64(8.936945673119117), np.float64(9.134037902383163), np.float64(9.800999427022195), np.float64(8.218954242010206), np.float64(6.2655957245525835), np.float64(8.850010185028964), np.float64(9.17648234036455), np.float64(8.880611761306696), np.float64(7.414806708159175), np.float64(8.95617641047564), np.float64(8.333170582769077), np.float64(10.210741927274084), np.float64(9.873238348229622), np.float64(8.981900979375137)]","[np.float64(10.130224258139002), np.float64(9.808381638857329), np.float64(10.086191293227703), np.float64(10.107258127892475), np.float64(9.93506227042314), np.float64(9.76993431410795), np.float64(10.018517074934081), np.float64(9.8850049958583), np.float64(9.982963111747157), np.float64(9.910469518497596), np.float64(9.347060081399905), np.float64(9.629123353930169), np.float64(10.071892669114877), np.float64(9.656288068292236), np.float64(10.098237083302271), np.float64(10.0149082332468), np.float64(10.095119867169611), np.float64(10.334335637455206), np.float64(10.037435975429306), np.float64(9.93023639029656)]","[np.float64(9.537455105204865), np.float64(9.236478559494506), np.float64(9.73406347890163), np.float64(9.777611031699518), np.float64(9.482318719913728), np.float64(9.617230535561848), np.float64(9.396885489689746), np.float64(9.673927952532193), np.float64(9.589910159242967), np.float64(9.368189531846447), 0, np.float64(9.079691687718142), np.float64(9.7761281948766), np.float64(9.289000285625752), np.float64(4.594431867472149), np.float64(9.176789433980204), np.float64(9.687051015621172), np.float64(10.05458585830548), np.float64(9.810404732419586), np.float64(9.542367557309401)]","[20.601916551589966, 17.80259108543396, 18.779825448989868, 17.00448489189148, 19.207063913345337, 16.684731483459473, 19.227848052978516, 17.22927975654602, 17.38287663459778, 20.37108302116394, 16.63528060913086, 17.282914400100708, 19.9287428855896, 17.247020483016968, 19.44201970100403, 16.903738737106323, 16.94241213798523, 20.155642986297607, 17.205536603927612, 17.147090435028076]"
10,65,5,9.738347084064879,10.391483525884828,9.461672069271748,19.47796572446823,1.0155534798670414,0.22940524052383687,2.261301055176075,"[np.float64(10.505047763553964), np.float64(10.122001527833516), np.float64(10.537219415658273), np.float64(9.355269453231097), np.float64(9.503159605373659), np.float64(10.42133023835425), np.float64(9.593528126311186), np.float64(10.253318908988847), np.float64(6.7051984114490155), np.float64(10.405885879275663), np.float64(8.071592886114429), np.float64(10.4223970062715), np.float64(10.519209262478789), np.float64(10.049564750345564), np.float64(9.447966237023044), np.float64(10.298454508875407), np.float64(8.202676869110544), np.float64(10.28858595346466), np.float64(9.56447781089248), np.float64(10.500057066691687)]","[np.float64(10.554216045303935), np.float64(10.365679917671951), np.float64(10.520926640564884), np.float64(10.325651452956988), np.float64(10.520720635355858), np.float64(10.48806011599121), np.float64(10.43041480941091), np.float64(10.1347447947711), np.float64(10.265896948588153), np.float64(10.72627029974663), np.float64(9.711596502573675), np.float64(10.594469753973053), np.float64(10.643583056488248), np.float64(10.20238089870163), np.float64(10.46157995870933), np.float64(10.14835930537061), np.float64(10.279915408586529), np.float64(10.602728954098572), np.float64(10.381053553514564), np.float64(10.471421465318722)]","[np.float64(10.233940665340329), np.float64(9.884724609678575), np.float64(10.069435274792054), np.float64(9.883182812477791), np.float64(10.023225981553605), np.float64(10.052492529103326), np.float64(10.280815312850386), np.float64(9.911565246268854), 0, np.float64(10.031421734483843), np.float64(9.151529761076237), np.float64(10.410783843424339), np.float64(10.293850395936044), np.float64(9.743073719075202), np.float64(9.92408914689555), np.float64(10.023156884478126), np.float64(8.778818946448997), np.float64(9.8814614743603), np.float64(10.269032365176574), np.float64(10.386840682014835)]","[21.731666803359985, 18.546294450759888, 18.334697246551514, 21.49362802505493, 18.24631404876709, 18.798885107040405, 22.45009756088257, 18.894845724105835, 17.993165493011475, 18.486738920211792, 22.000419855117798, 18.22489094734192, 18.251497983932495, 18.211532592773438, 22.589889526367188, 18.046703338623047, 18.156656742095947, 18.175988912582397, 22.799129247665405, 18.126271963119507]"
10,65,6,9.099047383895506,10.519056966475134,9.073246295725118,20.85897240638733,0.927479179731623,0.32332684682534546,2.419135838209497,"[np.float64(8.325940001541905), np.float64(10.814234696523533), np.float64(9.646545078425472), np.float64(9.402925229743964), np.float64(8.686248534433682), np.float64(8.621189573277437), np.float64(9.795393176333848), np.float64(8.886893917093756), np.float64(8.713369340925345), np.float64(9.63376685759637), np.float64(10.363434297128576), np.float64(8.992459013076624), np.float64(9.510053234126291), np.float64(6.784397896666315), np.float64(10.12841044520875), np.float64(9.51548725326464), np.float64(9.376454946385557), np.float64(8.696632361241385), np.float64(7.717553034415292), np.float64(8.369558790501372)]","[np.float64(10.075943629902142), np.float64(10.973562897210659), np.float64(10.904499539853749), np.float64(10.140547222841727), np.float64(10.625423291317), np.float64(10.164949428650699), np.float64(10.642656796265044), np.float64(10.968275579463006), np.float64(10.898403672654416), np.float64(10.741144451467544), np.float64(10.242212826453155), np.float64(10.838082444614383), np.float64(10.625426106035198), np.float64(10.333394933012807), np.float64(10.300246106453432), np.float64(10.882905774486154), np.float64(10.241168458303903), np.float64(10.413570530482023), np.float64(10.30191803249299), np.float64(10.06680760754263)]","[np.float64(9.351314908586662), np.float64(10.466108574568374), np.float64(10.142654516085845), np.float64(9.829647648264434), np.float64(9.657040613361819), np.float64(9.574133139682797), np.float64(10.274602738507092), np.float64(9.55120984412485), np.float64(9.117037174131097), np.float64(10.03186299178904), np.float64(9.927819368646173), np.float64(10.609333881690414), np.float64(9.633989188146863), 0, np.float64(9.510423760720187), np.float64(9.791334958827816), np.float64(9.827074708843103), np.float64(10.078262961053692), np.float64(5.040753267976259), np.float64(9.050321669495865)]","[19.726401805877686, 19.948309183120728, 24.110297918319702, 19.870925426483154, 20.00002694129944, 19.988091230392456, 19.761828184127808, 25.34035325050354, 20.039318561553955, 19.75032615661621, 19.73807978630066, 19.762099027633667, 25.835100889205933, 19.535158395767212, 19.29301691055298, 19.130899906158447, 19.388861656188965, 25.965034008026123, 20.113688468933105, 19.881630420684814]"
10,70,4,9.029383854785275,9.97635225794184,9.017588612215334,18.41818232536316,0.876904462130063,0.16710732925461155,1.4593306925887595,"[np.float64(10.008730009982), np.float64(9.95854572986878), np.float64(7.386843730753314), np.float64(9.800290240590858), np.float64(8.995237797525661), np.float64(9.836197341998053), np.float64(8.985358321035028), np.float64(9.035734275576326), np.float64(9.169488848612007), np.float64(9.108603650908906), np.float64(8.256004141715112), np.float64(8.942093127303256), np.float64(9.84639342730249), np.float64(8.960040170672317), np.float64(10.162032286796853), np.float64(8.01576421247624), np.float64(7.160144843706826), np.float64(8.06526428828957), np.float64(8.970979015794482), np.float64(9.923931634797421)]","[np.float64(9.965549255139434), np.float64(10.030705926295052), np.float64(9.99423523373211), np.float64(9.884247498503775), np.float64(10.041743742550244), np.float64(9.9846542012168), np.float64(9.79076471077446), np.float64(10.063825298925684), np.float64(10.212140420204502), np.float64(10.12239556357906), np.float64(10.22235641587094), np.float64(9.772592337888023), np.float64(10.039864501273208), np.float64(9.971037099471726), np.float64(10.233440019633308), np.float64(9.666764256283965), np.float64(9.650609775601655), np.float64(9.857997424098956), np.float64(10.059906565263125), np.float64(9.962214912530792)]","[np.float64(9.783741886800218), np.float64(9.558136660224456), np.float64(4.874804528758689), np.float64(9.339332977303606), np.float64(9.601365693480583), np.float64(9.571621644522173), np.float64(9.454889917051425), np.float64(9.514802822115538), np.float64(9.700072913321662), np.float64(9.741532918573112), np.float64(9.132148841517791), np.float64(9.355485846515752), np.float64(9.400157028616267), np.float64(9.526808396325293), np.float64(10.065351849582322), np.float64(9.115687742439462), np.float64(4.745836725193564), np.float64(9.032147586708152), np.float64(9.293979365686194), np.float64(9.543866899570434)]","[16.938141345977783, 18.595470905303955, 16.742318630218506, 24.042675256729126, 17.29080104827881, 17.39236283302307, 16.69422698020935, 16.828957080841064, 17.13477373123169, 23.507862329483032, 17.44893169403076, 17.28040075302124, 18.088104486465454, 18.682356119155884, 20.92379379272461, 23.516585111618042, 16.669105768203735, 17.108463048934937, 16.82658863067627, 16.651726961135864]"
10,70,5,9.062880619662195,10.22597795573217,8.97814578590554,19.469890463352204,0.9891515101989623,0.3618405690109686,1.9947819429652156,"[np.float64(9.514698561450974), np.float64(9.347946395803733), np.float64(8.572272519015598), np.float64(9.550026206624576), np.float64(10.39340948467796), np.float64(7.492992277423593), np.float64(10.467049519573692), np.float64(8.468588916374726), np.float64(9.322470841842762), np.float64(9.659466180570796), np.float64(9.367060908047243), np.float64(9.03603899202028), np.float64(8.258364246672096), np.float64(9.885998213249033), np.float64(8.367367533627025), np.float64(9.20561734457636), np.float64(7.1409560151804525), np.float64(10.502521371069726), np.float64(9.38810875920175), np.float64(7.316658106241531)]","[np.float64(10.62405931299525), np.float64(10.277004812403028), np.float64(10.445707447290552), np.float64(10.517821358500651), np.float64(10.449454916687257), np.float64(9.944353431998437), np.float64(10.486818114323977), np.float64(10.312968546664871), np.float64(10.169396708990854), np.float64(10.606855209136812), np.float64(10.531199930711791), np.float64(9.80715556670977), np.float64(9.94003194843409), np.float64(9.993773158536207), np.float64(10.436296483798538), np.float64(10.166019444742256), np.float64(9.215474163119659), np.float64(10.671387278206184), np.float64(10.08212309574203), np.float64(9.841658185651175)]","[np.float64(9.987389035066787), np.float64(10.082771535941859), np.float64(9.736357587581885), np.float64(10.224245403036146), np.float64(10.08681584271849), np.float64(4.558472491108535), np.float64(10.178036322063274), np.float64(9.518587852711624), np.float64(9.856386756387877), np.float64(10.303736549378907), np.float64(9.513664627774808), np.float64(9.292784095745052), np.float64(9.294899722992326), np.float64(9.264387416806422), np.float64(9.017613725113812), np.float64(9.84932722585335), np.float64(4.4414373152359525), np.float64(10.300112488560776), np.float64(9.761999036157434), np.float64(4.293890687875482)]","[17.860625743865967, 25.06261157989502, 18.299031972885132, 18.9216787815094, 20.011388540267944, 17.770901918411255, 18.660215139389038, 18.037009477615356, 25.717065811157227, 18.625219583511353, 18.203842163085938, 18.30008101463318, 18.264543294906616, 17.78940200805664, 27.200894594192505, 17.9206383228302, 18.077236890792847, 18.30990719795227, 18.297619581222534, 18.067895650863647]"
10,70,6,9.384333772558334,10.579432623983356,9.507670127966524,20.49038645029068,0.8764279294710047,0.42422395782077926,2.2731132341676856,"[np.float64(10.618322790723873), np.float64(8.410766850608075), np.float64(9.799142817822649), np.float64(8.895100000684101), np.float64(10.307921756321363), np.float64(9.704077370309536), np.float64(10.461731166383146), np.float64(9.836588971442769), np.float64(9.541697645001918), np.float64(8.47202266715046), np.float64(8.819825721134295), np.float64(9.503853430998491), np.float64(9.881773632402206), np.float64(9.72428629867645), np.float64(9.549234608480031), np.float64(6.734475959132234), np.float64(8.927224150724674), np.float64(10.011489325835422), np.float64(9.515562702399068), np.float64(8.971577584935908)]","[np.float64(10.473050442880533), np.float64(10.160649749756512), np.float64(10.60323190807217), np.float64(10.983029279868514), np.float64(10.49531929844786), np.float64(11.024328908382474), np.float64(10.591738343118204), np.float64(11.038073658548399), np.float64(10.627761193160229), np.float64(9.68350895995784), np.float64(10.630002399800016), np.float64(10.630718598209542), np.float64(11.005449378954577), np.float64(10.88397241103138), np.float64(10.244467181153073), np.float64(9.946606170449884), np.float64(10.943879437645522), np.float64(11.139426288291473), np.float64(10.678792957135553), np.float64(9.804645914803363)]","[np.float64(9.996800792130912), np.float64(9.331170590691862), np.float64(10.395932968050491), np.float64(10.047864440178781), np.float64(10.265025709121437), np.float64(9.831178515726453), np.float64(10.217119278033476), np.float64(10.210951321875076), np.float64(9.783794189730541), np.float64(9.431802292320143), np.float64(10.206954359586934), np.float64(10.16201928999228), np.float64(10.418761535354372), np.float64(10.425334194926489), np.float64(9.792175686183274), 0, np.float64(10.070401344452229), np.float64(10.362339384318773), np.float64(10.285065113861293), np.float64(8.918711552795644)]","[19.321865558624268, 26.866920471191406, 19.38933825492859, 18.95713210105896, 19.372745275497437, 19.172335386276245, 19.20253348350525, 19.487250328063965, 27.46349263191223, 19.167869806289673, 19.260111093521118, 19.127883911132812, 19.229556560516357, 19.413704872131348, 19.12867522239685, 27.51485252380371, 19.420876502990723, 19.4950954914093, 19.3903226852417, 19.425166845321655]"
15,60,4,8.251030493187383,9.769515563876636,8.054395408282941,17.79573837518692,0.946476838632926,0.25870704544682976,2.5798617427812163,"[np.float64(8.000040188185785), np.float64(8.638099669988511), np.float64(7.314172130376303), np.float64(7.146375758079682), np.float64(6.1227708742104054), np.float64(8.1521909577218), np.float64(7.945654169371216), np.float64(9.927748836456987), np.float64(7.756588219000583), np.float64(9.011044714246152), np.float64(8.088625484876026), np.float64(7.851912115663924), np.float64(9.839375765906517), np.float64(8.95964460767576), np.float64(9.074279822461046), np.float64(8.91216763379844), np.float64(7.928514251182171), np.float64(7.181861802906221), np.float64(9.154148926704574), np.float64(8.015393934935544)]","[np.float64(9.933410471938082), np.float64(9.456563949540548), np.float64(9.916891043354749), np.float64(9.584672260417264), np.float64(9.149848612531002), np.float64(9.98189586805209), np.float64(9.630103542122534), np.float64(9.961259601857764), np.float64(9.774012928109288), np.float64(10.076271643541245), np.float64(9.493336033691438), np.float64(9.534547200788182), np.float64(9.823179100639349), np.float64(9.690982410795423), np.float64(9.976179537403878), np.float64(9.885599866545391), np.float64(9.648820788370863), np.float64(9.659176467213076), np.float64(10.280852428417846), np.float64(9.932707522202703)]","[np.float64(8.969457564740285), np.float64(9.041454561283995), np.float64(4.723151483831241), np.float64(4.37483699360717), 0, np.float64(9.481198201387736), np.float64(9.21661609664845), np.float64(9.766456393470776), np.float64(8.32124194556559), np.float64(9.652323031620115), np.float64(9.218590369959575), np.float64(8.724183781744586), np.float64(9.478029717113657), np.float64(9.458194526511498), np.float64(9.734534427115385), np.float64(9.342508786938671), np.float64(8.564835226291347), np.float64(4.50542316506686), np.float64(9.54091586962128), np.float64(8.97395602314062)]","[16.899378061294556, 16.989492416381836, 16.505333423614502, 26.580515384674072, 16.542455196380615, 17.672500133514404, 16.65641164779663, 16.798393726348877, 16.490811824798584, 16.846383810043335, 16.78835105895996, 16.87315583229065, 26.516950130462646, 17.14297103881836, 16.677385807037354, 16.76866126060486, 16.653865814208984, 16.790714502334595, 16.638821363449097, 17.082215070724487]"
