window_index,out_batch_id,true_in_batch_id,correct_batch_prob,correct_batch_is_highest,anonymity_set_size,anonymity_set,n_clients,batch_size,batch_prob,sim_timestamp,utc_timestamp
1,1,2,0.15,False,6,"{2, 3, 5, 6, 8, 9}",10,3,"{9: 0.15, 3: 0.15, 5: 0.15, 8: 0.25, 6: 0.15, 2: 0.15}",0.5660340741696581,1759068984
1,0,5,0.15,False,6,"{2, 3, 5, 6, 8, 9}",10,3,"{8: 0.25, 6: 0.15, 3: 0.15, 2: 0.15, 9: 0.15, 5: 0.15}",0.5660340741696581,1759068984
2,3,4,0.2913907284768212,True,7,"{2, 3, 4, 5, 6, 8, 9}",10,3,"{9: 0.1456953642384106, 3: 0.1456953642384106, 5: 0.08278145695364239, 8: 0.10596026490066225, 6: 0.08278145695364239, 2: 0.1456953642384106, 4: 0.2913907284768212}",1.2142165456334841,1759068984
2,0,5,0.17328918322295805,False,6,"{2, 3, 5, 6, 8, 9}",10,3,"{3: 0.1390728476821192, 2: 0.1390728476821192, 9: 0.1390728476821192, 6: 0.17328918322295805, 8: 0.23620309050772628, 5: 0.17328918322295805}",1.2142165456334841,1759068984
2,1,2,0.1390728476821192,False,6,"{2, 3, 5, 6, 8, 9}",10,3,"{6: 0.17328918322295805, 3: 0.1390728476821192, 2: 0.1390728476821192, 9: 0.1390728476821192, 8: 0.23620309050772628, 5: 0.17328918322295805}",1.2142165456334841,1759068984
2,2,9,0.20750551876379691,True,6,"{2, 3, 5, 6, 8, 9}",10,3,"{8: 0.15011037527593818, 9: 0.20750551876379691, 6: 0.11368653421633554, 2: 0.20750551876379691, 3: 0.20750551876379691, 5: 0.11368653421633554}",1.2142165456334841,1759068984
3,5,8,0.11333150834930195,False,8,"{2, 3, 4, 5, 6, 7, 8, 9}",10,3,"{9: 0.10676156583629894, 3: 0.10676156583629894, 5: 0.07254311524774158, 8: 0.11333150834930195, 6: 0.07254311524774158, 2: 0.10676156583629894, 4: 0.1998357514371749, 7: 0.22146181220914318}",1.2914303251235886,1759068984
3,0,5,0.19915138242540378,False,6,"{2, 3, 5, 6, 8, 9}",10,3,"{2: 0.13267633908203302, 3: 0.13267633908203302, 6: 0.19915138242540378, 9: 0.13267633908203302, 8: 0.20366821790309333, 5: 0.19915138242540378}",1.2914303251235886,1759068984
3,1,2,0.13267633908203302,False,6,"{2, 3, 5, 6, 8, 9}",10,3,"{3: 0.13267633908203302, 2: 0.13267633908203302, 6: 0.19915138242540378, 9: 0.13267633908203302, 8: 0.20366821790309333, 5: 0.19915138242540378}",1.2914303251235886,1759068984
3,2,9,0.20111324025914773,True,6,"{2, 3, 5, 6, 8, 9}",10,3,"{6: 0.131261976457706, 2: 0.20111324025914773, 3: 0.20111324025914773, 9: 0.20111324025914773, 8: 0.1341363263071448, 5: 0.131261976457706}",1.2914303251235886,1759068984
3,3,4,0.2764850807555434,True,7,"{2, 3, 4, 5, 6, 8, 9}",10,3,"{9: 0.14453873528606626, 6: 0.09594853545031481, 2: 0.14453873528606626, 3: 0.14453873528606626, 4: 0.2764850807555434, 8: 0.09800164248562825, 5: 0.09594853545031481}",1.2914303251235886,1759068984
3,4,3,0.13723879916050735,False,7,"{2, 3, 4, 5, 6, 8, 9}",10,3,"{8: 0.1470024637284424, 9: 0.13723879916050735, 6: 0.09143169997262524, 2: 0.13723879916050735, 3: 0.13723879916050735, 4: 0.2584177388447851, 5: 0.09143169997262524}",1.2914303251235886,1759068984
4,3,4,0.39672131147540984,True,5,"{2, 3, 4, 8, 9}",10,3,"{9: 0.1431693989071038, 3: 0.1431693989071038, 8: 0.1737704918032787, 2: 0.1431693989071038, 4: 0.39672131147540984}",1.4566246480029044,1759068984
