window_index,out_batch_id,true_in_batch_id,correct_batch_prob,correct_batch_is_highest,anonymity_set_size,anonymity_set,n_clients,batch_size,batch_prob,sim_timestamp,utc_timestamp
1,1,4,0.17391304347826086,False,5,"{4, 5, 6, 8, 9}",10,3,"{9: 0.2608695652173913, 5: 0.17391304347826086, 6: 0.17391304347826086, 4: 0.17391304347826086, 8: 0.21739130434782608}",0.871888552228952,1759068949
1,0,6,0.21739130434782608,False,4,"{9, 4, 5, 6}",10,3,"{9: 0.34782608695652173, 5: 0.21739130434782608, 6: 0.21739130434782608, 4: 0.21739130434782608}",0.871888552228952,1759068949
2,3,8,0.1844532279314888,False,7,"{1, 4, 5, 6, 7, 8, 9}",10,3,"{9: 0.08168642951251646, 5: 0.06982872200263504, 6: 0.20948616600790515, 4: 0.18181818181818182, 8: 0.1844532279314888, 7: 0.12121212121212122, 1: 0.15151515151515152}",1.698035191096117,1759068949
2,0,6,0.2160737812911726,False,4,"{9, 4, 5, 6}",10,3,"{5: 0.2608695652173913, 6: 0.2160737812911726, 9: 0.3346508563899868, 4: 0.18840579710144928}",1.698035191096117,1759068949
2,1,4,0.14756258234519104,False,5,"{4, 5, 6, 8, 9}",10,3,"{8: 0.23847167325428195, 5: 0.2002635046113307, 6: 0.1686429512516469, 9: 0.2450592885375494, 4: 0.14756258234519104}",1.698035191096117,1759068949
2,2,9,0.152832674571805,False,6,"{4, 5, 6, 7, 8, 9}",10,3,"{9: 0.152832674571805, 8: 0.155467720685112, 5: 0.12911725955204217, 7: 0.230566534914361, 6: 0.11067193675889328, 4: 0.22134387351778656}",1.698035191096117,1759068949
3,2,9,0.18085106382978725,False,4,"{8, 9, 4, 6}",10,3,"{9: 0.18085106382978725, 6: 0.2127659574468085, 4: 0.425531914893617, 8: 0.18085106382978725}",1.7387044599038697,1759068949
3,0,6,0.15159574468085107,False,4,"{9, 4, 5, 6}",10,3,"{5: 0.4175531914893617, 6: 0.15159574468085107, 9: 0.3191489361702128, 4: 0.11170212765957446}",1.7387044599038697,1759068949
3,1,4,0.2127659574468085,False,4,"{8, 9, 4, 6}",10,3,"{9: 0.24468085106382978, 6: 0.2978723404255319, 8: 0.24468085106382978, 4: 0.2127659574468085}",1.7387044599038697,1759068949
3,3,8,0.20212765957446807,True,7,"{1, 4, 5, 6, 7, 8, 9}",10,3,"{6: 0.15159574468085107, 1: 0.1702127659574468, 8: 0.20212765957446807, 5: 0.10904255319148937, 7: 0.1702127659574468, 9: 0.0851063829787234, 4: 0.11170212765957446}",1.7387044599038697,1759068949
4,4,1,0.21161825726141079,True,8,"{0, 1, 4, 5, 6, 7, 8, 9}",10,3,"{9: 0.058091286307053944, 5: 0.0954356846473029, 6: 0.06224066390041494, 4: 0.04979253112033195, 8: 0.0995850622406639, 7: 0.21161825726141079, 1: 0.21161825726141079, 0: 0.21161825726141079}",1.8592882287323715,1759068949
4,0,6,0.08298755186721991,False,4,"{9, 4, 5, 6}",10,3,"{5: 0.6182572614107884, 6: 0.08298755186721991, 9: 0.23236514522821577, 4: 0.06639004149377593}",1.8592882287323715,1759068949
4,1,4,0.18672199170124482,False,4,"{8, 9, 4, 6}",10,3,"{8: 0.2863070539419087, 6: 0.23651452282157676, 9: 0.29045643153526973, 4: 0.18672199170124482}",1.8592882287323715,1759068949
4,2,9,0.22130013831258644,False,4,"{8, 9, 4, 6}",10,3,"{6: 0.18672199170124482, 8: 0.21853388658367912, 9: 0.22130013831258644, 4: 0.37344398340248963}",1.8592882287323715,1759068949
4,3,8,0.24619640387275243,False,4,"{8, 9, 4, 6}",10,3,"{9: 0.11065006915629322, 6: 0.36929460580912865, 8: 0.24619640387275243, 4: 0.27385892116182575}",1.8592882287323715,1759068949
5,5,7,0.29484029484029484,True,11,"{0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 12}",10,3,"{9: 0.029484029484029485, 5: 0.036855036855036855, 6: 0.011056511056511056, 4: 0.011056511056511056, 8: 0.044226044226044224, 7: 0.29484029484029484, 1: 0.09828009828009827, 0: 0.09828009828009827, 3: 0.12530712530712532, 10: 0.12530712530712532, 12: 0.12530712530712532}",2.4334869950426867,1759068949
5,0,6,0.036855036855036855,False,4,"{9, 4, 5, 6}",10,3,"{5: 0.6314496314496314, 9: 0.29484029484029484, 4: 0.036855036855036855, 6: 0.036855036855036855}",2.4334869950426867,1759068949
5,1,4,0.44185094185094187,False,2,"{4, 6}",10,3,"{6: 0.5581490581490581, 4: 0.44185094185094187}",2.4334869950426867,1759068949
5,2,9,0.3357903357903358,True,4,"{8, 9, 4, 6}",10,3,"{8: 0.3153153153153153, 9: 0.3357903357903358, 4: 0.2325962325962326, 6: 0.1162981162981163}",2.4334869950426867,1759068949
5,3,8,0.3824733824733825,True,4,"{8, 9, 4, 6}",10,3,"{9: 0.1678951678951679, 8: 0.3824733824733825, 4: 0.22481572481572482, 6: 0.22481572481572482}",2.4334869950426867,1759068949
5,4,1,0.2334152334152334,True,8,"{0, 1, 4, 5, 6, 7, 8, 9}",10,3,"{1: 0.2334152334152334, 0: 0.2334152334152334, 7: 0.17936117936117937, 4: 0.029484029484029485, 9: 0.07862407862407862, 8: 0.11793611793611794, 5: 0.09828009828009827, 6: 0.029484029484029485}",2.4334869950426867,1759068949
6,0,6,0.16666666666666666,False,3,"{9, 4, 6}",10,3,"{9: 0.6666666666666666, 6: 0.16666666666666666, 4: 0.16666666666666666}",2.4797850560664196,1759068950
6,1,4,0.4444444444444444,False,2,"{4, 6}",10,3,"{6: 0.5555555555555556, 4: 0.4444444444444444}",2.4797850560664196,1759068950
6,2,9,0.2222222222222222,False,4,"{8, 9, 4, 6}",10,3,"{8: 0.4444444444444444, 4: 0.2222222222222222, 6: 0.1111111111111111, 9: 0.2222222222222222}",2.4797850560664196,1759068950
6,3,8,0.5555555555555556,True,4,"{8, 9, 4, 6}",10,3,"{4: 0.16666666666666666, 8: 0.5555555555555556, 6: 0.16666666666666666, 9: 0.1111111111111111}",2.4797850560664196,1759068950
6,4,1,0.3333333333333333,True,3,"{0, 1, 5}",10,3,"{1: 0.3333333333333333, 5: 0.3333333333333333, 0: 0.3333333333333333}",2.4797850560664196,1759068950
6,5,7,1.0,True,1,{7},10,3,{7: 1.0},2.4797850560664196,1759068950
7,6,5,0.08695652173913043,False,8,"{0, 1, 2, 3, 5, 10, 11, 12}",10,3,"{5: 0.08695652173913043, 1: 0.08695652173913043, 0: 0.17391304347826086, 3: 0.13043478260869565, 10: 0.13043478260869565, 12: 0.13043478260869565, 2: 0.13043478260869565, 11: 0.13043478260869565}",2.736033922087143,1759068950
7,0,6,0.16666666666666666,False,3,"{9, 4, 6}",10,3,"{9: 0.6666666666666666, 6: 0.16666666666666666, 4: 0.16666666666666666}",2.736033922087143,1759068950
7,1,4,0.4444444444444444,False,2,"{4, 6}",10,3,"{6: 0.5555555555555556, 4: 0.4444444444444444}",2.736033922087143,1759068950
7,2,9,0.2222222222222222,False,4,"{8, 9, 4, 6}",10,3,"{8: 0.4444444444444444, 4: 0.2222222222222222, 6: 0.1111111111111111, 9: 0.2222222222222222}",2.736033922087143,1759068950
