window_index,out_batch_id,true_in_batch_id,correct_batch_prob,correct_batch_is_highest,anonymity_set_size,anonymity_set,n_clients,batch_size,batch_prob,sim_timestamp,utc_timestamp
1,1,3,0.11538461538461539,False,7,"{0, 2, 3, 4, 6, 7, 8}",10,3,"{2: 0.11538461538461539, 7: 0.15384615384615385, 3: 0.11538461538461539, 6: 0.15384615384615385, 0: 0.15384615384615385, 8: 0.15384615384615385, 4: 0.15384615384615385}",0.5412083068436032,1759068984
1,0,7,0.46153846153846156,True,3,"{2, 3, 7}",10,3,"{7: 0.46153846153846156, 3: 0.2692307692307692, 2: 0.2692307692307692}",0.5412083068436032,1759068984
2,0,7,0.6363636363636364,True,2,"{3, 7}",10,3,"{7: 0.6363636363636364, 3: 0.36363636363636365}",0.8003282148469396,1759068984
2,1,3,0.09090909090909091,False,7,"{0, 2, 3, 4, 6, 7, 8}",10,3,"{2: 0.16363636363636364, 6: 0.16363636363636364, 0: 0.16363636363636364, 3: 0.09090909090909091, 4: 0.16363636363636364, 8: 0.16363636363636364, 7: 0.09090909090909091}",0.8003282148469396,1759068984
2,2,2,0.14545454545454545,False,7,"{0, 2, 3, 4, 6, 7, 8}",10,3,"{8: 0.14545454545454545, 2: 0.14545454545454545, 6: 0.14545454545454545, 3: 0.18181818181818182, 0: 0.14545454545454545, 4: 0.14545454545454545, 7: 0.09090909090909091}",0.8003282148469396,1759068984
3,4,8,0.17099236641221374,True,8,"{0, 2, 3, 4, 6, 7, 8, 9}",10,3,"{2: 0.09465648854961832, 7: 0.06641221374045801, 3: 0.08854961832061069, 6: 0.17099236641221374, 0: 0.09465648854961832, 8: 0.17099236641221374, 4: 0.17099236641221374, 9: 0.14274809160305343}",1.636798616814614,1759068984
3,0,7,0.6099236641221374,True,2,"{3, 7}",10,3,"{3: 0.3900763358778626, 7: 0.6099236641221374}",1.636798616814614,1759068984
3,1,3,0.0816793893129771,False,7,"{0, 2, 3, 4, 6, 7, 8}",10,3,"{6: 0.15267175572519084, 0: 0.18931297709923664, 4: 0.15267175572519084, 2: 0.18931297709923664, 3: 0.0816793893129771, 7: 0.0816793893129771, 8: 0.15267175572519084}",1.636798616814614,1759068984
3,2,2,0.17022900763358778,True,7,"{0, 2, 3, 4, 6, 7, 8}",10,3,"{2: 0.17022900763358778, 6: 0.13816793893129772, 0: 0.17022900763358778, 4: 0.13816793893129772, 3: 0.1633587786259542, 7: 0.0816793893129771, 8: 0.13816793893129772}",1.636798616814614,1759068984
3,3,6,0.17099236641221374,True,8,"{0, 2, 3, 4, 6, 7, 8, 9}",10,3,"{7: 0.06641221374045801, 4: 0.17099236641221374, 2: 0.09465648854961832, 6: 0.17099236641221374, 3: 0.08854961832061069, 0: 0.09465648854961832, 9: 0.14274809160305343, 8: 0.17099236641221374}",1.636798616814614,1759068984
4,5,4,0.10458874458874459,False,10,"{0, 1, 2, 3, 4, 6, 7, 8, 9, 10}",10,3,"{2: 0.08753246753246753, 7: 0.03428571428571429, 3: 0.045714285714285714, 6: 0.10458874458874459, 0: 0.08753246753246753, 8: 0.10458874458874459, 4: 0.10458874458874459, 9: 0.11220779220779221, 10: 0.15948051948051947, 1: 0.15948051948051947}",1.8110390661538294,1759068984
4,0,7,0.5206926406926407,True,2,"{3, 7}",10,3,"{3: 0.4793073593073593, 7: 0.5206926406926407}",1.8110390661538294,1759068984
