n_hops,threshold,mean_entropy,median_entropy,q25_entropy,simulation_time,std_mean,std_median,std_q25,raw_means,raw_medians,raw_q25s,raw_times
2,5,0.0,0.0,0.0,12.601962995529174,0.0,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12.881801128387451, 12.093526840209961, 12.752527236938477, 12.725521564483643, 12.700687646865845, 13.135788917541504, 12.180538177490234, 12.422780990600586, 12.81119155883789, 12.315265893936157]"
2,10,4.306232268348679,4.689955935892811,4.455458139097234,14.499190425872802,0.4692108772697887,7.50672791542944e-15,0.7415471441620769,"[np.float64(4.689955935892768), np.float64(4.263596305355859), np.float64(3.410877044285675), np.float64(3.8372366748210207), np.float64(4.689955935892648), np.float64(4.68995593528851), np.float64(3.8372366748208533), np.float64(4.263596305349197), np.float64(4.689955935892733), np.float64(4.689955935887524)]","[np.float64(4.689955935892813), np.float64(4.6899559358928125), np.float64(4.689955935892811), np.float64(4.689955935892789), np.float64(4.689955935892813), np.float64(4.689955935892813), np.float64(4.689955935892813), np.float64(4.689955935892813), np.float64(4.689955935892813), np.float64(4.689955935892813)]","[np.float64(4.689955935892787), np.float64(4.689955935890054), np.float64(2.344977967946378), np.float64(4.689955935890847), np.float64(4.689955935892586), np.float64(4.689955935892785), np.float64(4.689955935889846), np.float64(4.689955935891463), np.float64(4.689955935892788), np.float64(4.6899559358928125)]","[14.823569774627686, 14.602734088897705, 14.34787130355835, 14.397256135940552, 15.030580997467041, 14.938371896743774, 14.092614650726318, 14.298443794250488, 14.072020292282104, 14.388441324234009]"
2,15,5.107648062197458,5.300390024146621,5.300390007845745,14.504904103279113,0.24882876545059926,1.1568045742065065e-09,2.837271668879287e-08,"[np.float64(5.300390004629179), np.float64(5.300390012606493), np.float64(5.30039001764571), np.float64(4.818536382737869), np.float64(5.300390002863515), np.float64(5.300389988354312), np.float64(4.818535707469501), np.float64(5.300389944649994), np.float64(4.818536374831942), np.float64(4.818532186186068)]","[np.float64(5.300390024383842), np.float64(5.300390024976031), np.float64(5.30039002489964), np.float64(5.3003900215346755), np.float64(5.300390023725175), np.float64(5.300390024176735), np.float64(5.300390022942881), np.float64(5.300390025118735), np.float64(5.300390025264301), np.float64(5.300390024444197)]","[np.float64(5.3003900192298765), np.float64(5.300390021771001), np.float64(5.30039002342718), np.float64(5.300390017193429), np.float64(5.300390005827957), np.float64(5.300390013006426), np.float64(5.300390008877588), np.float64(5.300390016406262), np.float64(5.300390023811626), np.float64(5.300389928906101)]","[14.06835412979126, 15.8612380027771, 14.070715188980103, 14.322482585906982, 14.093288898468018, 14.362228870391846, 14.58458399772644, 14.378532886505127, 14.789660930633545, 14.517955541610718]"
2,20,5.586499647982739,5.689955733092871,5.689954056589919,14.256297779083251,0.21809960992589078,1.306347572529476e-07,1.1894918856547032e-06,"[np.float64(5.6899544646959646), np.float64(5.689954684221561), np.float64(5.689954135529788), np.float64(5.689951430422557), np.float64(5.172685465357892), np.float64(5.689953269293746), np.float64(5.689949896307232), np.float64(5.172684001638164), np.float64(5.68995486307528), np.float64(5.6899542692852085)]","[np.float64(5.6899558311542044), np.float64(5.6899554613358525), np.float64(5.689955850295133), np.float64(5.689955723770961), np.float64(5.689955807743344), np.float64(5.689955794147544), np.float64(5.689955648949587), np.float64(5.689955618560804), np.float64(5.6899557012908435), np.float64(5.689955893680436)]","[np.float64(5.689955497791682), np.float64(5.689954280371117), np.float64(5.6899547059231095), np.float64(5.689953661627118), np.float64(5.689952389451764), np.float64(5.689955064269293), np.float64(5.689954474620875), np.float64(5.689951652055717), np.float64(5.689954503460763), np.float64(5.6899543363277445)]","[13.937580347061157, 14.807295560836792, 13.926700353622437, 14.481679201126099, 14.757665395736694, 14.287028789520264, 14.10302448272705, 13.72631549835205, 14.239148616790771, 14.296539545059204]"
2,25,5.588745563816358,6.027226483744872,6.0271245778738525,14.468794417381286,0.43210243282366145,1.3009219466868822e-05,8.743127876931778e-05,"[np.float64(5.479249115381775), np.float64(5.479284753259538), np.float64(6.026150861087961), np.float64(4.93132620021922), np.float64(6.027195885518902), np.float64(5.479210932310907), np.float64(6.0272143661154445), np.float64(4.9313326852649615), np.float64(5.479279775240735), np.float64(6.0272110637641445)]","[np.float64(6.0272342248646), np.float64(6.027228363933402), np.float64(6.027236630322067), np.float64(6.027227418100841), np.float64(6.02722139319973), np.float64(6.027225287821011), np.float64(6.027228363933402), np.float64(6.027192343758054), np.float64(6.027235759102242), np.float64(6.027235052413378)]","[np.float64(6.027066514143617), np.float64(6.027198127422797), np.float64(6.027113088169376), np.float64(6.026980207293287), np.float64(6.027187885765011), np.float64(6.027020728536319), np.float64(6.027215228978021), np.float64(6.027060457724385), np.float64(6.027200486232111), np.float64(6.0272030544735955)]","[14.432586908340454, 14.305245161056519, 15.090236902236938, 13.99765419960022, 14.269684791564941, 14.07638669013977, 14.433062314987183, 14.053542852401733, 14.867080211639404, 15.162464141845703]"
2,30,5.989079802684657,6.274807099143489,6.274207967539495,14.349946212768554,0.3004456741629616,3.84590401327331e-05,0.0006517803305237441,"[np.float64(6.274392043994467), np.float64(6.274475179494243), np.float64(5.704216915034743), np.float64(5.704313135078203), np.float64(5.704189181522829), np.float64(5.703386841532052), np.float64(6.274625181688514), np.float64(6.2724645422971825), np.float64(6.274577547180902), np.float64(5.704157459023427)]","[np.float64(6.274853517048058), np.float64(6.274743651969157), np.float64(6.274775013789665), np.float64(6.274811861394049), np.float64(6.274870240714835), np.float64(6.274811861394049), np.float64(6.274839270712499), np.float64(6.274788524804194), np.float64(6.274788524804194), np.float64(6.274788524804194)]","[np.float64(6.274286108801849), np.float64(6.274526142281644), np.float64(6.274526142281644), np.float64(6.274619531035164), np.float64(6.274152593202589), np.float64(6.272422267961259), np.float64(6.274467512753992), np.float64(6.274113123175236), np.float64(6.274596757088608), np.float64(6.274369496812964)]","[13.818660259246826, 14.402502059936523, 14.17232632637024, 13.461721658706665, 15.032468795776367, 14.490837097167969, 15.020255088806152, 14.840498208999634, 13.516660690307617, 14.743531942367554]"
2,35,6.091014652885125,6.507477440234295,6.504960314364084,14.26065764427185,0.4869641010283398,0.0005156182693589058,0.002350035678312507,"[np.float64(6.507277324234721), np.float64(5.913740578711472), np.float64(5.91493961160258), np.float64(5.324194324826559), np.float64(6.50696563999172), np.float64(5.322815191142364), np.float64(6.506619469015812), np.float64(6.506774217689337), np.float64(6.500475141227768), np.float64(5.9063450304089224)]","[np.float64(6.50783121871887), np.float64(6.507696897716749), np.float64(6.506655855916094), np.float64(6.5079923591518485), np.float64(6.507869033644858), np.float64(6.506513132068932), np.float64(6.507303285752183), np.float64(6.507869033644858), np.float64(6.507586798939214), np.float64(6.507456786789347)]","[np.float64(6.506787276421164), np.float64(6.505318322297683), np.float64(6.504966321580929), np.float64(6.504989917589122), np.float64(6.506584493992513), np.float64(6.499372818262634), np.float64(6.506007212974451), np.float64(6.507145720133192), np.float64(6.505858342202153), np.float64(6.502572718186995)]","[14.551403999328613, 14.758607625961304, 14.495768547058105, 13.889522790908813, 14.45899248123169, 14.469495296478271, 13.485346794128418, 14.475084781646729, 13.37357783317566, 14.648776292800903]"
2,40,6.3787178737050025,6.687431872348232,6.681585342923166,14.212884140014648,0.42924811146087116,0.0014522778299586767,0.003432271513395378,"[np.float64(6.67876753319588), np.float64(6.683854512095573), np.float64(6.076693557243385), np.float64(6.078179285269012), np.float64(6.685303057047364), np.float64(6.686517179361155), np.float64(6.684588300072451), np.float64(5.469313279345576), np.float64(6.068496188462699), np.float64(6.675465844956929)]","[np.float64(6.687874985475954), np.float64(6.688404185461263), np.float64(6.686881075730273), np.float64(6.6876614172808075), np.float64(6.687426080232626), np.float64(6.689005455793431), np.float64(6.686566323729039), np.float64(6.683881475329617), np.float64(6.688548939231119), np.float64(6.688068785218192)]","[np.float64(6.677817920843804), np.float64(6.683767602047832), np.float64(6.681339475236058), np.float64(6.685653777781122), np.float64(6.682443778966009), np.float64(6.6856657799397485), np.float64(6.68351247288623), np.float64(6.677390897471097), np.float64(6.675991354233357), np.float64(6.68227036982641)]","[13.159390926361084, 14.839914321899414, 14.596415042877197, 13.080082416534424, 14.761879205703735, 13.4263756275177, 15.544661045074463, 14.039710521697998, 13.371099472045898, 15.30931282043457]"
2,45,6.416938388381936,6.8596929096214065,6.845633154295049,14.25160481929779,0.41704206564258334,0.002570375502354854,0.009761538198148647,"[np.float64(6.855274183089768), np.float64(5.607224832818816), np.float64(6.234109236270979), np.float64(6.235341047919383), np.float64(6.234673637019546), np.float64(6.231575443163595), np.float64(6.2352668428172535), np.float64(6.851364554372742), np.float64(6.8413044326734855), np.float64(6.843249673673792)]","[np.float64(6.8590117218877165), np.float64(6.853991843946174), np.float64(6.861147012015989), np.float64(6.861147012015989), np.float64(6.858170264045336), np.float64(6.860494795061323), np.float64(6.8617460505792085), np.float64(6.863265407438009), np.float64(6.858170264045336), np.float64(6.859784725178985)]","[np.float64(6.851062602715372), np.float64(6.833182599949572), np.float64(6.850420208587915), np.float64(6.851247573792071), np.float64(6.848960726688725), np.float64(6.853783278906683), np.float64(6.851247573792071), np.float64(6.853521222057873), np.float64(6.83620970469843), np.float64(6.8266960517617825)]","[13.209412097930908, 15.372124910354614, 13.580935716629028, 15.180886507034302, 13.745535850524902, 15.666729211807251, 13.423263549804688, 13.428780555725098, 15.567834377288818, 13.340545415878296]"
2,50,6.601834157071637,6.9932126237559356,6.9715547083350735,14.568055748939514,0.43974447128067057,0.004068825430140004,0.010396876757355383,"[np.float64(6.984268297455688), np.float64(5.718323628085268), np.float64(6.352329056957146), np.float64(6.984663809300372), np.float64(6.988498544801754), np.float64(6.99235618348886), np.float64(6.3525041469065835), np.float64(6.941727029164486), np.float64(6.349533708958938), np.float64(6.354137165597274)]","[np.float64(6.995606842169121), np.float64(6.99395955866431), np.float64(6.997103913694126), np.float64(6.992147165104244), np.float64(6.995606842169121), np.float64(6.999700487255992), np.float64(6.990153307198931), np.float64(6.990153307198931), np.float64(6.985547649000342), np.float64(6.992147165104244)]","[np.float64(6.960187410373159), np.float64(6.952970816095021), np.float64(6.971303381084378), np.float64(6.970198027422373), np.float64(6.971303381084378), np.float64(6.987520850293461), np.float64(6.979394823481565), np.float64(6.982894535482679), np.float64(6.965102985081183), np.float64(6.97467087295254)]","[13.315296173095703, 16.102503061294556, 13.28762698173523, 16.60005807876587, 13.603908061981201, 13.414084196090698, 16.292935609817505, 13.352843761444092, 13.417785406112671, 16.293516159057617]"
