n_hops,threshold,mean_entropy,median_entropy,q25_entropy,simulation_time,std_mean,std_median,std_q25
2,5,0.0,0.0,0.0,14.064865243434905,0.0,0.0,0.0
2,10,4.689955935610189,4.689955935892812,4.689955935892294,16.395075368881226,8.42708383525812e-10,3.5230815430142184e-15,1.8353098333300695e-12
2,15,5.204019021628786,5.300390024317116,5.3003899840101,16.685654211044312,0.19774845934863247,1.3533433475565013e-09,7.486529334414845e-08
2,20,5.638211127015138,5.689955678921625,5.689952578518506,16.37224645614624,0.159206947736024,1.784710537519509e-07,3.4879636343506266e-06
2,25,5.972302511368145,6.027230481472408,6.027176503336118,16.647564566135408,0.16861840744420967,5.1639460381143115e-06,3.268276749007171e-05
2,30,6.188847820660763,6.274782572488103,6.2744011949080045,16.506494998931885,0.20893443475194068,6.245250871989584e-05,0.00033724911112511705
2,35,6.446649696541513,6.507526553814401,6.5058129484737135,16.108369886875153,0.18182944386380595,0.00023855880432170629,0.0011560274936335511
2,40,6.683313327223395,6.687475340416852,6.681547831862665,16.132011282444,0.003782889378283832,0.0010498532230460897,0.006760118501027394
2,45,6.728554754289175,6.858786525914002,6.846666101996819,16.19456238746643,0.25563966954594236,0.004169696806867915,0.009188941714483314
2,50,6.9519992458480235,6.994270428262194,6.974890875698359,16.107720017433167,0.14055078792795384,0.006676937946495106,0.008484648136723014
2,55,7.070109061676115,7.122160250308463,7.0907020130549,16.122072076797487,0.1453590356860463,0.009351727317643093,0.0168521603924623
2,60,7.200801240684865,7.222657789723442,7.172576210668632,16.024354016780855,0.012612423492605374,0.015043459072736211,0.02208330901415293
2,65,7.133549642465277,7.302857658288762,7.217011224627694,15.58856142759323,0.26950527287512327,0.02637170485200382,0.0418598381858916
2,70,7.219942070344848,7.356847974637793,7.25427116157857,15.222085237503052,0.2408460250309836,0.03267877546426391,0.04671679050792371
2,75,7.241100339200454,7.387818541564831,7.245506408684526,15.192675817012788,0.2425780555113898,0.04693649022783469,0.08108065495158309
2,80,7.21921225039059,7.38846208835018,7.2026456587657055,15.144320178031922,0.2926345662228578,0.06718864861045692,0.15277543863141033
2,85,7.366065242578476,7.399702548465977,7.233073502535503,15.381861102581023,0.04918817049315954,0.0708148962514304,0.061469586220188124
2,90,7.286735793958441,7.432809024648535,7.1803554722300085,15.425285708904266,0.21755522839821678,0.06210380825690998,0.09963628092036532
2,95,7.272556461576093,7.409367734181143,7.095220036856382,15.368138325214385,0.15639095898297461,0.07282840393153182,0.11397540791507121
2,100,7.202592327332302,7.340150541360165,6.9934456869396,15.388166296482087,0.23132093686863736,0.11353061608714508,0.15652339510389385
3,5,0.0,0.0,0.0,15.238624715805054,0.0,0.0,0.0
3,10,6.90753089181493,6.933432039124275,6.619315508006973,20.41281932592392,0.09431199236544444,0.17503589868707584,0.16439733216907623
3,15,7.489321376449528,7.542379222786053,7.366387579428333,20.07448219060898,0.20011764894386017,0.1077543039221313,0.11421572622487267
3,20,7.729366610094322,7.943894648184576,7.7201783327317965,19.74086949825287,0.37284351355165457,0.14456667522424324,0.15543737157771312
3,25,8.221193945526787,8.296210089785314,8.123285013862631,19.619147086143492,0.23398815158852138,0.09574916349544699,0.0806058634597134
3,30,8.505740036702615,8.603229863959067,8.426796255902515,19.523169922828675,0.2561164452316165,0.11215494262350574,0.09808349516751706
3,35,8.828717990699458,8.836576971198863,8.65623435486529,19.23286145925522,0.07975107984419541,0.09032739300217633,0.08686263840455404
3,40,8.8557441114919,8.959884074258818,8.821615793102543,19.013152945041657,0.419520065642692,0.12356977375770019,0.11211443006763572
3,45,9.105902836415055,9.168862088183406,9.041359476039098,18.604978585243224,0.28293331857580095,0.062122384269371375,0.09676099726717842
3,50,9.187719031846632,9.304585398679048,9.119363738318405,19.58946785926819,0.23042077613444661,0.11187160429959699,0.08682685295105536
3,55,9.196335428731114,9.406172119227751,9.262254253818961,18.785192203521728,0.34369303922299044,0.06628557677695625,0.07430294373246042
3,60,9.264218963397141,9.483783652010434,9.364581772232107,17.814404129981995,0.4805761168244541,0.07783470007985233,0.09308471748700549
3,65,9.57784231004766,9.58175346644811,9.432019259010245,18.35602163076401,0.038146941875202275,0.05030560571274468,0.06533771292375812
3,70,9.5513558370631,9.60619196003982,9.421993045301608,19.009976780414583,0.19282105217017315,0.07262309815144569,0.07831680077108753
3,75,9.632129799682197,9.644143560056433,9.473888308582627,18.544818449020386,0.06761168907168345,0.08065463200237362,0.09725690062141687
3,80,9.425374720022612,9.658193486733317,9.386417185063948,18.547370433807373,0.38249879039124735,0.12612808593350838,0.11338966988501355
3,85,9.392388760885726,9.646455631731852,9.331773304403884,18.888615322113036,0.5000156170275868,0.08093735725097248,0.18974638341603853
3,90,9.431313755194955,9.56475213417436,9.24914802717545,17.259377014636993,0.2965999062385755,0.11199745332302155,0.14539129710359106
3,95,9.303298370813192,9.547859853943503,9.13496692033243,18.506034100055693,0.3738213070084286,0.10310589789148265,0.16407273233453967
3,100,9.17994405306411,9.473211276945822,9.062965568479187,18.80518581867218,0.4075044125416897,0.12593986849007452,0.15475973676833596
4,5,0.0,0.0,0.0,15.912157273292541,0.0,0.0,0.0
4,10,7.727779103489743,7.8161938810024125,7.544424655894147,21.526726257801055,0.30472214057599584,0.18818225938460306,0.14476693276912952
4,15,8.338846357563478,8.42566492079233,8.150833755273291,23.35377241373062,0.3026347163411082,0.17884192938454463,0.16818076932311565
4,20,8.639878982705623,8.746077390244329,8.568524371716384,21.859517693519592,0.4144262275790898,0.1456653352800938,0.16509487492593475
4,25,9.087521174412453,9.112630576463063,8.897892534558448,20.643422925472258,0.11974334472081183,0.12201775935093512,0.15725087317248287
4,30,9.21566400452229,9.331910241519665,9.186107477603954,21.36434988975525,0.3554737673501453,0.10520840645887103,0.11544325087356909
4,35,9.567057573410207,9.599567766699977,9.443327838778202,21.76005996465683,0.21425186782478187,0.0857737927869137,0.0866999942368085
4,40,9.717212849104405,9.788653098776386,9.628921763326368,20.052613615989685,0.295444669103218,0.09170079790365356,0.11340157033503458
4,45,9.896692033406426,9.938483806185777,9.788158776384178,21.31167188882828,0.2015298044706886,0.055579773526727654,0.08372184312545797
4,50,10.010454144355737,10.033591422733368,9.909334023858479,21.13313671350479,0.21638803017089353,0.09667287882414227,0.10976924616740127
4,55,10.028153006658696,10.158234765621508,10.00367425654105,19.54496623277664,0.33730113091920083,0.09358899137526279,0.091680349544367
4,60,10.027161829789764,10.244944328198907,10.113246576713243,20.885126805305482,0.4144779492037478,0.0971113398040945,0.09670030187803673
4,65,10.239510362134238,10.341161944677713,10.209090554017093,19.103233981132508,0.44295170435690256,0.0986601878889714,0.12061652028592124
4,70,10.244468928660792,10.35099162417724,10.129864884807715,20.60959310531616,0.4262260090025335,0.13593641115760557,0.10356285509346601
4,75,10.255430134374603,10.387401574335648,10.128506581878206,18.469736886024474,0.2827870764859766,0.13096583572646933,0.09654998094066843
4,80,10.14661033858186,10.37570872257336,10.073929228490469,21.16732476949692,0.4147820025885723,0.09522545158276102,0.15403075534494357
4,85,10.313489511324747,10.36600844477769,10.102723837101111,19.369795429706574,0.07088569955641835,0.13208020137635365,0.12639323645779582
4,90,10.226835400259029,10.30458147926248,10.035381305462575,21.03191156387329,0.2324567449140919,0.10187781951424696,0.11274714774978695
4,95,10.028587086635675,10.230831253239124,9.848519524677208,19.159413158893585,0.37384182842921554,0.1360992921639066,0.11400058584753107
4,100,10.113369639105994,10.213311398598794,9.777770529299927,21.17026240825653,0.08938413836584914,0.1488014509156099,0.17281466490185934
5,5,0.0,0.0,0.0,14.569045054912568,0.0,0.0,0.0
5,10,8.167689048561277,8.2681465603617,8.018871298863704,24.12897915840149,0.39148543353796983,0.16137563733726212,0.16990903158494167
5,15,8.629862460368772,8.80805279023586,8.571996889151624,26.697332549095155,0.46872035877169294,0.14423399392492814,0.19904514326310072
5,20,9.176641526756358,9.270456519541652,9.03791129716404,22.88697725534439,0.25802287118180717,0.14993189531750697,0.1308989088586732
5,25,9.485871146231966,9.558767494240286,9.363788449085378,25.617561185359953,0.29399789657159836,0.1341378166566418,0.1700209301009927
5,30,9.727525579704128,9.83672942137588,9.637756564765375,22.347202908992767,0.2763571899367316,0.10841179788476682,0.11580719441396012
5,35,9.97708390198121,10.07998347809969,9.900116978555845,24.6176885843277,0.2617374768900245,0.11974598215830735,0.1259403276328475
5,40,10.081316405375079,10.19198355563262,10.042442606723476,22.002494502067567,0.4791653222022989,0.10308163110557682,0.11776648083463427
5,45,10.28042905418299,10.347758817706787,10.218669004899475,22.083232486248015,0.3272666048407136,0.09819268477255574,0.11259949040033192
5,50,10.213970147634317,10.500125325748785,10.334421973600891,24.309874272346498,0.45181490779958855,0.0764247989477648,0.12119413938580816
5,55,10.47525776022052,10.61913890606713,10.453287221095547,21.426877641677855,0.3707579142723329,0.09455043400952964,0.07954370440952378
5,60,10.643171668282042,10.69616266052217,10.537623204462019,24.206408870220184,0.24820258083334984,0.08941767591096278,0.09750318367578376
5,65,10.730096572978642,10.729350437380909,10.556876879375428,20.632644498348235,0.09468181120166067,0.10823996017644151,0.12508323230661808
